product_code,default_unit_price
0000341,2400
0000342,800
0000343,3000
0000344,2500
0000345,5000
0000346,3800
0000347,800
0000348,4000
0000349,2700
0000350,900
0000351,1200
0000352,1900
0000353,1200
0000354,1200
0000355,750
0000356,900
0000357,2500
0000358,1050
0000359,2400
0000360,4000
0000361,3100
0000362,1400
0000363,5000
0000364,2500
0000365,800
0000366,450
0000367,3000
0000368,2700
0000369,1750
0000370,900
0000371,2700
0000372,2500
0000373,1400
0000374,1200
0000375,1200
0000376,1200
0000377,4000
0000378,2500
0000379,1400
0000380,600
0000381,800
0000382,2150
0000383,1200
0000384,950
0000385,2400
0000386,1500
0000387,1500
0000388,2400
0000389,1500
0000390,300
0000391,2750
0000392,900
0000393,1950
0000394,1700
0000395,500
0000396,2700
0000397,900
0000398,10000
0000399,6300
0000400,450
0000401,2250
0000402,2000
0000403,3000
0000404,1250
0000405,1000
0000406,700
0000407,1250
0000408,2900
0000409,1100
0000410,2500
0000411,1500
0000412,2500
0000413,700
0000414,1500
0000415,1500
0000416,2400
0000417,3500
0000418,900
0000419,7500
0000420,2400
0000421,2000
0000422,6500
0000423,750
0000424,1100
0000425,7200
0000426,3000
0000427,800
0000428,7500
0000429,1000
0000430,1150
0000431,1000
0000432,1150
